sale_date,sale_time,file_number,case_number,firm_name,address,city,county,zip_code,opening_bid,required_down,sale_amount,continuance,sold_to,last_updated
2018-04-20 10:30:00,10:30 AM,38-2118,16 CH 03431,"McCalla Raymer Leibert Pierce, LLC",7001 SOUTH THROOP STREET,CHICAGO,Cook,60636,24000.00,25,24000.00,,Plaintiff,2018-05-30 20:27:12.347860
2018-04-20 10:30:00,10:30 AM,38-2194,16 CH 03666,"McCalla Raymer Leibert Pierce, LLC",7322 SOUTH DORCHESTER AVENUE,CHICAGO,Cook,60619,167952.33,25,167952.33,,Plaintiff,2018-05-30 20:27:12.462860
2018-04-20 10:30:00,10:30 AM,38-961,17 CH 5254,"SHAPIRO KREISMAN & ASSOCIATES, LLC",9739 SOUTH INGLESIDE AVENUE,CHICAGO,Cook,60628,61320.00,25,61320.00,,Plaintiff,2018-05-30 20:27:12.572859
2018-04-23 10:30:00,10:30 AM,38-129,2017 CH 12735,"CODILIS & ASSOCIATES, P.C.",10111 S. FAIRFIELD AVE,CHICAGO,Cook,60655,109659.00,25,109659.00,,Plaintiff,2018-05-30 20:27:12.717860
2018-04-23 10:30:00,10:30 AM,38-2443,11 M 1  402870,"CITY OF CHICAGO, DEPARTMENT OF LAW/COAL",1209 WEST 112TH STREET,CHICAGO,Cook,60643,20809.54,25,20809.54,,Plaintiff,2018-05-30 20:27:12.897860
2018-04-23 10:30:00,10:30 AM,38-1613,17 CH 09864,"HAUSELMAN, RAPPIN & OLSWANG, LTD.","2445-51 W. 66TH STREET, 6603-05 S. CAMPBELL AVENUE",CHICAGO,Cook,60629,57270.64,25,91000.00,,Third Party Bidder,2018-05-30 20:27:13.008860
2018-04-23 10:30:00,10:30 AM,37-9715,2017 CH 10002,"CODILIS & ASSOCIATES, P.C.",3625 N. PLAINFIELD AVE.,CHICAGO,Cook,60634,200750.00,25,221000.00,,Third Party Bidder,2018-05-30 20:27:13.107861
2018-04-23 10:30:00,10:30 AM,38-2214,11 CH 23527,"McCalla Raymer Leibert Pierce, LLC",437 WEST DIVISION STREET UNIT 1-316,CHICAGO,Cook,60610,,25,193000.00,,Third Party Bidder,2018-05-30 20:27:13.212859
2018-04-23 10:30:00,10:30 AM,38-1278,16 CH 8932,"SHAPIRO KREISMAN & ASSOCIATES, LLC",4916 WEST HENDERSON STREET,CHICAGO,Cook,60641,169188.91,25,211000.00,,Third Party Bidder,2018-05-30 20:27:13.442860
2018-04-23 10:30:00,10:30 AM,38-957,17 CH 9293,"SHAPIRO KREISMAN & ASSOCIATES, LLC",5526 SOUTH CALIFORNIA AVENUE,CHICAGO,Cook,60629,138140.25,25,138140.25,,Plaintiff,2018-05-30 20:27:13.539860
2018-04-23 10:30:00,10:30 AM,38-879,17 CH 04914,"POTESTIVO & ASSOCIATES, P.C.",6245 S. WASHTENAW AVENUE,CHICAGO,Cook,60629,45000.00,25,72000.00,,Third Party Bidder,2018-05-30 20:27:13.643859
2018-04-23 10:30:00,10:30 AM,38-936,17 CH 5818,"Anselmo Lindberg & Associates, LLC",6811 SOUTH EVANS AVENUE,CHICAGO,Cook,60637,45000.00,25,45000.00,,Plaintiff,2018-05-30 20:27:13.786858
2018-04-23 10:30:00,10:30 AM,38-930,14 CH 10332,"Anselmo Lindberg & Associates, LLC",7530 SOUTH CHAMPLAIN AVENUE,CHICAGO,Cook,60619,43690.48,25,43690.48,,Plaintiff,2018-05-30 20:27:13.884859
